1.17,-6.25227,-4.39426
1.18,-6.78981,-4.78886
1.19,-7.32545,-5.23556
1.2,-7.85307,-5.73678
1.21,-8.36596,-6.29438
1.22,-8.85693,-6.90952
1.23,-9.31825,-7.58257
1.24,-9.74186,-8.31295
1.25,-10.1194,-9.09909
1.26,-10.4423,-9.93824
1.27,-10.7021,-10.8265
1.28,-10.8906,-11.7586
1.29,-10.9997,-12.728
1.3,-11.0221,-13.727
1.31,-10.9514,-14.7464
1.32,-10.7822,-15.7759
1.33,-10.5103,-16.8043
1.34,-10.133,-17.8193
1.35,-9.64932,-18.808
1.36,-9.06011,-19.7571
1.37,-8.3681,-20.6531
1.38,-7.57804,-21.4827
1.39,-6.69662,-22.2332
1.4,-5.73251,-22.8925
1.41,-4.69615,-23.4498
1.42,-3.59961,-23.8958
1.43,-2.45634,-24.2229
1.44,-1.28089,-24.4253
1.45,-0.0885626,-24.4996
1.46,1.10494,-24.4445
1.47,2.28387,-24.2609
1.48,3.43284,-23.9519
1.49,4.53719,-23.5231
1.5,5.58326,-22.9817
1.51,6.55878,-22.3369
1.52,7.45303,-21.5992
1.53,8.2571,-20.7805
1.54,8.96398,-19.8935
1.55,9.56864,-18.9515
1.56,10.068,-17.9678
1.57,10.4611,-16.9559
1.58,10.7485,-15.9287
1.59,10.9327,-14.8985
1.6,11.0177,-13.877
1.61,11.0086,-12.8744
1.62,10.9119,-11.9
1.63,10.7348,-10.9619
1.64,10.485,-10.0669
1.65,10.1709,-9.22014
1.66,9.80091,-8.42595
1.67,9.38359,-7.68718
1.68,8.92733,-7.00558
1.69,8.44027,-6.38187
1.7,7.93015,-5.8158
1.71,7.40428,-5.30632
1.72,6.86943,-4.85169
1.73,6.3318,-4.44954
1.74,5.79701,-4.09708
1.75,5.27005,-3.79114
1.76,4.75535,-3.52828
1.77,4.25676,-3.30491
1.78,3.77758,-3.11737
1.79,3.32062,-2.96196
1.8,2.88823,-2.83504
